descripcion,metricas,query,owner
Hay apuntes?,,"Para que puedas continuar reviviendo la clase y practicando en casa, entregamos videos de apoyo y apuntes descargables en diferentes plataformas para que siempre tengas acceso.",
Hay unidades?,,"Para que puedas continuar reviviendo la clase y practicando en casa, entregamos videos de apoyo y apuntes descargables en diferentes plataformas para que siempre tengas acceso.",
Donde consigo la teoría?,,"Para que puedas continuar reviviendo la clase y practicando en casa, entregamos videos de apoyo y apuntes descargables en diferentes plataformas para que siempre tengas acceso.",
"Hay videos, clases grabadas o apuntes?",,"Para que puedas continuar reviviendo la clase y practicando en casa, entregamos videos de apoyo y apuntes descargables en diferentes plataformas para que siempre tengas acceso.",
"No pude ir a una clase, que hago?",,"Te perdiste alguna clase o no entendiste completamente un tema? No te preocupes, todos nuestros alumnos se benefician de clases de recuperación gratuitas disponibles fuera de los horarios habituales de clases.",
Puedo recuperar una clase?,,"Te perdiste alguna clase o no entendiste completamente un tema? No te preocupes, todos nuestros alumnos se benefician de clases de recuperación gratuitas disponibles fuera de los horarios habituales de clases.",
Que hago si no puedo ir a la clase?,,"Te perdiste alguna clase o no entendiste completamente un tema? No te preocupes, todos nuestros alumnos se benefician de clases de recuperación gratuitas disponibles fuera de los horarios habituales de clases.",
Que pasa si falto a una clase?,,"Te perdiste alguna clase o no entendiste completamente un tema? No te preocupes, todos nuestros alumnos se benefician de clases de recuperación gratuitas disponibles fuera de los horarios habituales de clases.",
Vamos a hacer ejercicios en clase?,,"Trabajamos completamente presencial, todos nuestros alumnos disponen de cámaras, equipos, materiales, accesorios, flashes, telones, fondos y todo lo necesario para aprender de una manera dinámica. Las clases, practicas, usos del estudio y de todos los materiales se realiza exclusivamente de manera presencial.",
Vamos a practicar?,,"Trabajamos completamente presencial, todos nuestros alumnos disponen de cámaras, equipos, materiales, accesorios, flashes, telones, fondos y todo lo necesario para aprender de una manera dinámica. Las clases, practicas, usos del estudio y de todos los materiales se realiza exclusivamente de manera presencial.",
Cómo es la clase?,,"Trabajamos completamente presencial, todos nuestros alumnos disponen de cámaras, equipos, materiales, accesorios, flashes, telones, fondos y todo lo necesario para aprender de una manera dinámica. Las clases, practicas, usos del estudio y de todos los materiales se realiza exclusivamente de manera presencial.",
Qué hacemos en clase?,,"Trabajamos completamente presencial, todos nuestros alumnos disponen de cámaras, equipos, materiales, accesorios, flashes, telones, fondos y todo lo necesario para aprender de una manera dinámica. Las clases, practicas, usos del estudio y de todos los materiales se realiza exclusivamente de manera presencial.",
Las clases son prácticas?,,"Trabajamos completamente presencial, todos nuestros alumnos disponen de cámaras, equipos, materiales, accesorios, flashes, telones, fondos y todo lo necesario para aprender de una manera dinámica. Las clases, practicas, usos del estudio y de todos los materiales se realiza exclusivamente de manera presencial.",
Hace falta tener cámara?,,No hace falta que tengas una cámara para estudiar con nosotros. La escuela te provee todos los materiales necesarios.,
Que pasa si no tengo cámara?,,No hace falta que tengas una cámara para estudiar con nosotros. La escuela te provee todos los materiales necesarios.,
Las cámaras las provee el centro?,,No hace falta que tengas una cámara para estudiar con nosotros. La escuela te provee todos los materiales necesarios.,
"No tengo cámara, puedo tomar el curso?",,No hace falta que tengas una cámara para estudiar con nosotros. La escuela te provee todos los materiales necesarios.,
Cómo se paga?,,"Aceptamos todos los medios de pago: Transferencia, Depósito, Mercado Pago, Pago Fácil y Rapi Pago.",
Aceptan tarjeta?,,"Aceptamos todos los medios de pago: Transferencia, Depósito, Mercado Pago, Pago Fácil y Rapi Pago.",
Aceptan credito?,,"Aceptamos todos los medios de pago: Transferencia, Depósito, Mercado Pago, Pago Fácil y Rapi Pago.",
Se puede pagar en efectivo?,,"Aceptamos todos los medios de pago: Transferencia, Depósito, Mercado Pago, Pago Fácil y Rapi Pago.",
Tienen mercado pago?,,"Aceptamos todos los medios de pago: Transferencia, Depósito, Mercado Pago, Pago Fácil y Rapi Pago.",
Aceptan débito?,,"Aceptamos todos los medios de pago: Transferencia, Depósito, Mercado Pago, Pago Fácil y Rapi Pago.",
Qué medios de pago aceptan?,,"Aceptamos todos los medios de pago: Transferencia, Depósito, Mercado Pago, Pago Fácil y Rapi Pago.",
Qué cursos se pueden tomar?,,"Ofrecemos cursos de manejo de cámara, Fotoproducto, Photoshop I y II, Lightroom, Composición, Lightpainting, y Premiere.",
Cuales cursos dan?,,"Ofrecemos cursos de manejo de cámara, Fotoproducto, Photoshop I y II, Lightroom, Composición, Lightpainting, y Premiere.",
Cómo son los cursos que dictan?,,"Ofrecemos cursos de manejo de cámara, Fotoproducto, Photoshop I y II, Lightroom, Composición, Lightpainting, y Premiere.",
Qué cursos tienen?,,"Ofrecemos cursos de manejo de cámara, Fotoproducto, Photoshop I y II, Lightroom, Composición, Lightpainting, y Premiere.",
De qué son los cursos?,,"Ofrecemos cursos de manejo de cámara, Fotoproducto, Photoshop I y II, Lightroom, Composición, Lightpainting, y Premiere.",
Cómo son los cursos?,,"Ofrecemos cursos de manejo de cámara, Fotoproducto, Photoshop I y II, Lightroom, Composición, Lightpainting, y Premiere.",
Qué cursos ofrecen?,,"Ofrecemos cursos de manejo de cámara, Fotoproducto, Photoshop I y II, Lightroom, Composición, Lightpainting, y Premiere.",
Hay que llevar algo?,,"No necesitas equipo fotográfico, ni cámaras ni ningún otro accesorio. Nosotros te proveemos todas las herramientas necesarias para la cursada.",
Tengo que llevar cámara?,,"No necesitas equipo fotográfico, ni cámaras ni ningún otro accesorio. Nosotros te proveemos todas las herramientas necesarias para la cursada.",
Necesito llevar algo para la clase?,,"No necesitas equipo fotográfico, ni cámaras ni ningún otro accesorio. Nosotros te proveemos todas las herramientas necesarias para la cursada.",
Dónde consigo los apuntes?,,Los apuntes los proveemos nosotros.,
Cómo consigo los apuntes?,,Los apuntes los proveemos nosotros.,
Tengo que sacar fotocopias?,,Los apuntes los proveemos nosotros.,
Los apuntes los proveen ustedes?,,Los apuntes los proveemos nosotros.,
Hay un lugar para hacer prácticas?,,Tenemos un estudio fotográfico y un aula digital para que puedas hacer las prácticas.,
Dónde vamos a practicar?,,Tenemos un estudio fotográfico y un aula digital para que puedas hacer las prácticas.,
Dónde podemos editar nuestras fotos?,,Tenemos un estudio fotográfico y un aula digital para que puedas hacer las prácticas.,
Hay un aula para hacer edición?,,Tenemos un estudio fotográfico y un aula digital para que puedas hacer las prácticas.,
Tienen estudio fotográfico?,,Tenemos un estudio fotográfico y un aula digital para que puedas hacer las prácticas.,
Tienen redes sociales?,,Tenemos un canal de Youtube privado para nuestros alumnos. También podés seguirnos en redes sociales como Instagram y Facebook.,
Tienen canal de youtube?,,Tenemos un canal de Youtube privado para nuestros alumnos. También podés seguirnos en redes sociales como Instagram y Facebook.,
Dónde puedo ver sus publicaciones?,,Tenemos un canal de Youtube privado para nuestros alumnos. También podés seguirnos en redes sociales como Instagram y Facebook.,
Tienen alguna red social?,,Tenemos un canal de Youtube privado para nuestros alumnos. También podés seguirnos en redes sociales como Instagram y Facebook.,
Usan wpp?,,"A demás del contacto en la clase y a través de eMail, creamos grupo de WhatsApp para estar siempre en contacto.",
Tienen grupos de whatsapp?,,"A demás del contacto en la clase y a través de eMail, creamos grupo de WhatsApp para estar siempre en contacto.",
Cómo hacemos para estar en contacto?,,"A demás del contacto en la clase y a través de eMail, creamos grupo de WhatsApp para estar siempre en contacto.",
Qué contacto tengo con los profesores y los demás alumnos?,,"A demás del contacto en la clase y a través de eMail, creamos grupo de WhatsApp para estar siempre en contacto.",
Es todo dentro del aula o se hacen salidas?,,"Hacemos salidas, encuentros en exteriores y safaris fotográficos.",
Vamos a salir a sacar fotos?,,"Hacemos salidas, encuentros en exteriores y safaris fotográficos.",
El curso es totalmente teorico?,,"Hacemos salidas, encuentros en exteriores y safaris fotográficos.",
Se hacen practicas fuera del aula?,,"Hacemos salidas, encuentros en exteriores y safaris fotográficos.",
Se hacen actividades fuera del aula?,,"Hacemos salidas, encuentros en exteriores y safaris fotográficos.",
Tienen contenido gratis?,,Hacemos Webinars gratuitos.,
Hay webinar?,,Hacemos Webinars gratuitos.,
Donde puedo ver una clase gratis?,,Hacemos Webinars gratuitos.,
Hacen Webinars?,,Hacemos Webinars gratuitos.,
Como es el trato del los profes?,,En la carrera de fotografía vas a poder disfrutar de un seguimiento personalizado por parte de nuestro cuerpo docente.,
Se pueden hacer consultas a los profesores?,,En la carrera de fotografía vas a poder disfrutar de un seguimiento personalizado por parte de nuestro cuerpo docente.,
El trato es grupal o personal?,,En la carrera de fotografía vas a poder disfrutar de un seguimiento personalizado por parte de nuestro cuerpo docente.,
Cómo es el seguimiento de los profesores?,,En la carrera de fotografía vas a poder disfrutar de un seguimiento personalizado por parte de nuestro cuerpo docente.,
Cuando empezó la escuela?,,El Centro Argentino Fotográfico forma artistas y profesionales desde 1975. Tenemos más de 10.000 alumnos recibidos.,
Cuando arrancaron a dar clases?,,El Centro Argentino Fotográfico forma artistas y profesionales desde 1975. Tenemos más de 10.000 alumnos recibidos.,
Desde cuando existe el centro?,,El Centro Argentino Fotográfico forma artistas y profesionales desde 1975. Tenemos más de 10.000 alumnos recibidos.,
Desde cuando existe la escuela?,,El Centro Argentino Fotográfico forma artistas y profesionales desde 1975. Tenemos más de 10.000 alumnos recibidos.,
Que seminarios dan?,,Tenemos seminarios y talleres de especialización dictados por profesores y fotógrafos de primer nivel.,
Cuales seminarios dictan?,,Tenemos seminarios y talleres de especialización dictados por profesores y fotógrafos de primer nivel.,
Como son los seminarios?,,Tenemos seminarios y talleres de especialización dictados por profesores y fotógrafos de primer nivel.,
Como son lso talleres?,,Tenemos seminarios y talleres de especialización dictados por profesores y fotógrafos de primer nivel.,
Que talleres dan?,,Tenemos seminarios y talleres de especialización dictados por profesores y fotógrafos de primer nivel.,
Hay seminarios?,,Tenemos seminarios y talleres de especialización dictados por profesores y fotógrafos de primer nivel.,
Cuanto duran los cursos?,,"Tenemos cursos cortos, individuales y grupales para aquellos que buscan algo mas reducido.",
Los cursos son individuales o grupales?,,"Tenemos cursos cortos, individuales y grupales para aquellos que buscan algo mas reducido.",
Tienen una formación intensiva?,,"Tenemos cursos cortos, individuales y grupales para aquellos que buscan algo mas reducido.",
Qué tipo de cursos tienen?,,"Tenemos cursos cortos, individuales y grupales para aquellos que buscan algo mas reducido.",
De que trata un workshop?,,Hacemos workshop con el formato de jornadas intensivas de 1 día para los más exigentes que desean mayor conocimiento en menos tiempo.,
Como se dicta un workshop?,,Hacemos workshop con el formato de jornadas intensivas de 1 día para los más exigentes que desean mayor conocimiento en menos tiempo.,
Cómo son los workshop?,,Hacemos workshop con el formato de jornadas intensivas de 1 día para los más exigentes que desean mayor conocimiento en menos tiempo.,
Cuantos profes hay?,,"Nuestro staff está compuesto por Julián López, Juan José García Coni, Juan Carlos Cozzo, Francisco García Coni, Santiago Fuentes, Daniel Bragini, Rodrigo López, Daniel Tambutto, y Facundo López.",
Cual es el staff?,,"Nuestro staff está compuesto por Julián López, Juan José García Coni, Juan Carlos Cozzo, Francisco García Coni, Santiago Fuentes, Daniel Bragini, Rodrigo López, Daniel Tambutto, y Facundo López.",
Quienes dan la clase?,,"Nuestro staff está compuesto por Julián López, Juan José García Coni, Juan Carlos Cozzo, Francisco García Coni, Santiago Fuentes, Daniel Bragini, Rodrigo López, Daniel Tambutto, y Facundo López.",
Quienes son los profesores?,,"Nuestro staff está compuesto por Julián López, Juan José García Coni, Juan Carlos Cozzo, Francisco García Coni, Santiago Fuentes, Daniel Bragini, Rodrigo López, Daniel Tambutto, y Facundo López.",
Cual es la dirección?,,La dirección de la Sede San Martín es Dir. Peatonal Belgrano 3376. La Sede Morón se encuentra en Dir. Bartolomé Mitre 1070. La Sede de San Miguel queda ubicada en Dir. Maestro D'elía 1233.,
En donde está el centro?,,La dirección de la Sede San Martín es Dir. Peatonal Belgrano 3376. La Sede Morón se encuentra en Dir. Bartolomé Mitre 1070. La Sede de San Miguel queda ubicada en Dir. Maestro D'elía 1233.,
Dónde están las sedes?,,La dirección de la Sede San Martín es Dir. Peatonal Belgrano 3376. La Sede Morón se encuentra en Dir. Bartolomé Mitre 1070. La Sede de San Miguel queda ubicada en Dir. Maestro D'elía 1233.,
Dónde es la escuela?,,La dirección de la Sede San Martín es Dir. Peatonal Belgrano 3376. La Sede Morón se encuentra en Dir. Bartolomé Mitre 1070. La Sede de San Miguel queda ubicada en Dir. Maestro D'elía 1233.,
Dónde quedan las sedes?,,La dirección de la Sede San Martín es Dir. Peatonal Belgrano 3376. La Sede Morón se encuentra en Dir. Bartolomé Mitre 1070. La Sede de San Miguel queda ubicada en Dir. Maestro D'elía 1233.,
Cómo me comunico?,,El teléfono de contacto de la Sede San Martín es 4754-5370. La Sede Morón cuenta con el número 4629-3034. Para comunicarte con la Sede San Miguel podés llamar al 4629-3034.,
Cual es el teléfono de contacto?,,El teléfono de contacto de la Sede San Martín es 4754-5370. La Sede Morón cuenta con el número 4629-3034. Para comunicarte con la Sede San Miguel podés llamar al 4629-3034.,
Dónde llamar?,,El teléfono de contacto de la Sede San Martín es 4754-5370. La Sede Morón cuenta con el número 4629-3034. Para comunicarte con la Sede San Miguel podés llamar al 4629-3034.,
Cómo los llamo?,,El teléfono de contacto de la Sede San Martín es 4754-5370. La Sede Morón cuenta con el número 4629-3034. Para comunicarte con la Sede San Miguel podés llamar al 4629-3034.,
A dónde tengo que llamar?,,El teléfono de contacto de la Sede San Martín es 4754-5370. La Sede Morón cuenta con el número 4629-3034. Para comunicarte con la Sede San Miguel podés llamar al 4629-3034.,
A qué teléfono me puedo comunicar?,,El teléfono de contacto de la Sede San Martín es 4754-5370. La Sede Morón cuenta con el número 4629-3034. Para comunicarte con la Sede San Miguel podés llamar al 4629-3034.,
Cuales son los nuveles?,,Nuestros cursos van desde el Nuvel 1 hasta el Nivel 4.,
Cuantos niveles tiene el curso?,,Nuestros cursos van desde el Nuvel 1 hasta el Nivel 4.,
Cuantos niveles hay?,,Nuestros cursos van desde el Nuvel 1 hasta el Nivel 4.,
Cuando empieza el curso?,,"Todavía no está definida la fecha de inicio del ciclo lectivo 2023, pero ya está abierta la inscripción.",
Cuando comienza el curso?,,"Todavía no está definida la fecha de inicio del ciclo lectivo 2023, pero ya está abierta la inscripción.",
Cuando empieza la carrera?,,"Todavía no está definida la fecha de inicio del ciclo lectivo 2023, pero ya está abierta la inscripción.",
Cuando arrancan?,,"Todavía no está definida la fecha de inicio del ciclo lectivo 2023, pero ya está abierta la inscripción.",
Cuando se empieza a cursar?,,"Todavía no está definida la fecha de inicio del ciclo lectivo 2023, pero ya está abierta la inscripción.",
